target,text,cleaned_text,processed_text
1,"@scottrmcgrew I know sleep is so over rated! who needs it, right! ",i know sleep is so over rated who needs it right,know sleep rated need right
0,Taking my sister to the airport ,taking my sister to the airport,taking sister airport
0,This is the awkwardest thing ever...he is weird bekki  and needs a shower haha,this is the awkwardest thing everhe is weird bekki and needs a shower haha,awkwardest thing everhe weird bekki need shower haha
0,Sore as helllll... :/ Mothers day though. I'm not a mother... No presents. ,sore as helllll mothers day though i am not a mother no presents,sore helllll mother day though mother present
1,Hey @my4brats!  Long time no talk girl! ,hey long time no talk girl,hey long time talk girl
1,@VincentWright Yeah. It's not an easy time out there now. Thankfully there are good ppl like @pinkslipped and @pinkGIFT to help! ,yeah it is not an easy time out there now thankfully there are good ppl like and to help,yeah easy time thankfully good ppl like help
0,Looks like I won't be getting operated b4 my album release   Gonna surprise my pops at work and have lunch with him! Happy late Dad's day!,looks like i will not be getting operated b my album release gonna surprise my pops at work and have lunch with him happy late dad is day,look like getting operated album release gon na surprise pop work lunch happy late dad day
0,I need dinner but I'm still waiting for a fax from work.  Also I have no food. Attn! Need partner who cooks. I am inept. lol,i need dinner but i am still waiting for a fax from work also i have no food attn need partner who cooks i am inept lol,need dinner still waiting fax work also food attn need partner cook inept lol
0,@JosephLane sorry to read about your grandmother's passing. ,sorry to read about your grandmother is passing,sorry read grandmother passing
1,@DebbyBruck beautiful! when children smile the world smiles ,beautiful when children smile the world smiles,beautiful child smile world smile
0,good morning..i woke up to my boo leavin me  wat im i goin to do for like 4 days??? im miss you already,good morningi woke up to my boo leavin me wat im i goin to do for like days im miss you already,good morningi woke boo leavin wat im goin like day im miss already
1,Everybody check out @ItsTyraB's song &quot;You givin' me a rush&quot; its amazing  &amp; its a version of @PaulaAbdul's &quot;Rush Rush&quot; http://bit.ly/3bVs7,everybody check out is song quotyou givin me a rushquot its amazing amp its a version of is quotrush rushquot,everybody check song quotyou givin rushquot amazing amp version quotrush rushquot
1,is taking ESV study bible to church dispite chiropractors recomendations not to  it's big,is taking esv study bible to church dispite chiropractors recomendations not to it is big,taking esv study bible church dispite chiropractor recomendations big
1,I look forward to joining the revolution ,i look forward to joining the revolution,look forward joining revolution
1,@Akelaa You're welcome! Google Wave Rocks! Can't wait to use it ,you are welcome google wave rocks cannot wait to use it,welcome google wave rock wait use
0,My poor doggie just had surgery and he is in alot of pain  but we saved his life.,my poor doggie just had surgery and he is in alot of pain but we saved his life,poor doggie surgery alot pain saved life
0,@hardik that's one of the downsides of my job. no stock dealing shealing allowed!!! ,that is one of the downsides of my job no stock dealing shealing allowed,one downside job stock dealing shealing allowed
1,@nemoniknemonik About time! ,about time,time
0,Also doesn't help that it is an absolutely gorgeous Boston day (mid 70s) AND @stacey_a_allen invited me to her sister's grad party. ,also does not help that it is an absolutely gorgeous boston day mid s and invited me to her sister is grad party,also help absolutely gorgeous boston day mid invited sister grad party
1,@CicelyElizabeth ok goodnight ,ok goodnight,ok goodnight
1,@blueredhead09 have fun!! You'll have to tell me all about it! ,have fun you will have to tell me all about it,fun tell
1,"going to sainsburys n then cutteslowe after ,by the way this message is sent through txt not web  x",going to sainsburys n then cutteslowe after by the way this message is sent through txt not web x,going sainsburys cutteslowe way message sent txt web
0,is really taking life hard right now. ,is really taking life hard right now,really taking life hard right
1,http://fotolog.com/iheartmarion please?  about marion cotillard â¥,please about marion cotillard,please marion cotillard
0,@mikegentile hey stud. go figure you come to the land of whores when i am gone in the bahamas ,hey stud go figure you come to the land of whores when i am gone in the bahamas,hey stud go figure come land whore gone bahamas
1,@noopman Remote? I prefer to be on site.  There's no substitute for working with people in person,remote i prefer to be on site there is no substitute for working with people in person,remote prefer site substitute working people person
1,"@jamiefarhat so I'm leaving soon to go to a park with my mum, but when I return we must watch LOST, oh and I'm on episode 11 of BTVS ",so i am leaving soon to go to a park with my mum but when i return we must watch lost oh and i am on episode of btvs,leaving soon go park mum return must watch lost oh episode btvs
0,Only 1 hour 50 minutes left of work  Better get back to it then ,only hour minutes left of work better get back to it then,hour minute left work better get back
1,@janelle30 Or &quot;there&quot; - whatever.  It's bloody early! But insomnia = fresh blueberry muffins for breakfast. Mmm!,or quottherequot whatever it is bloody early but insomnia fresh blueberry muffins for breakfast mmm,quottherequot whatever bloody early insomnia fresh blueberry muffin breakfast mmm
0,Home from the AWESOME Eddie Vedder show.  Wish I was going tomorrow night too ,home from the awesome eddie vedder show wish i was going tomorrow night too,home awesome eddie vedder show wish going tomorrow night
0,My throat is still soreeeee  I can't wait until this is overrrrr,my throat is still soreeeee i cannot wait until this is overrrrr,throat still soreeeee wait overrrrr
0,"Bah! Exciting stuff from Kimi, wish he wasn't full of fuel though  #f1",bah exciting stuff from kimi wish he was not full of fuel though f,bah exciting stuff kimi wish full fuel though
1,Hey the @JonasBrothers are doing a live web chat on May 7th! I'm inviting you! http://bit.ly/14etEe #jonaslive ,hey the are doing a live web chat on may th i am inviting you jonaslive,hey live web chat may th inviting jonaslive
1,@ddlovato sana claus s tru you are so very pretty ,sana claus s tru you are so very pretty,sana claus tru pretty
1,boored and still doesnt get whats TWITTER:someone plss explain to me ,boored and still doesnt get whats twittersomeone plss explain to me,boored still doesnt get whats twittersomeone plss explain
0,getting ready for work...I'm tired of smelling like fries and looking like I had a fight with a milkshake!! (No not McDonald's hun)  ,getting ready for worki am tired of smelling like fries and looking like i had a fight with a milkshake no not mcdonald is hun,getting ready worki tired smelling like fry looking like fight milkshake mcdonald hun
1,@skiNZ_Official woohooooooooooo!! is stalking ya! ,woohooooooooooo is stalking ya,woohooooooooooo stalking ya
1,Smiley button badges (RM2.50 for 10pcs) and memo pad (RM2 each). Keep on smiling ,smiley button badges rm for pcs and memo pad rm each keep on smiling,smiley button badge rm pc memo pad rm keep smiling
1,"@ work early, emptied the dishwasher, cleaned the kitchen, and made coffee....and its only 10 after 8. ",work early emptied the dishwasher cleaned the kitchen and made coffeeand its only after,work early emptied dishwasher cleaned kitchen made coffeeand
0,@mefries Hours lost in the parks   I am so sorry!,hours lost in the parks i am so sorry,hour lost park sorry
0,Ok so everytime i read twitter i so want to be a superstar ,ok so everytime i read twitter i so want to be a superstar,ok everytime read twitter want superstar
0,I want to go back to sleep. It would be nice to have someone to bury myself into.  I hope I will have that again soon...,i want to go back to sleep it would be nice to have someone to bury myself into i hope i will have that again soon,want go back sleep would nice someone bury hope soon
0,A great hard training weekend is over.  a couple days of rest and lets do it again!  Lots of computer time to put in now ,a great hard training weekend is over a couple days of rest and lets do it again lots of computer time to put in now,great hard training weekend couple day rest let lot computer time put
1,"@ktcronier hahaha thanks, Katie! ",hahaha thanks katie,hahaha thanks katie
1,Kelly Clarkson is actually very smart and funny! such a relief  #fb (watching good news week),kelly clarkson is actually very smart and funny such a relief fb watching good news week,kelly clarkson actually smart funny relief fb watching good news week
1,A squirrel says to a tree: &quot;I did not store any acorns for the winter so I am dead&quot;. It is funny because the squirrel is dead.  LoL,a squirrel says to a tree quoti did not store any acorns for the winter so i am deadquot it is funny because the squirrel is dead lol,squirrel say tree quoti store acorn winter deadquot funny squirrel dead lol
0,Still not feelin' this Tweeting thing ,still not feelin this tweeting thing,still feelin tweeting thing
1,@thegoodemaria as part of your goode job shot you should come hang out here and talk wine.    Thanks for the love.,as part of your goode job shot you should come hang out here and talk wine thanks for the love,part goode job shot come hang talk wine thanks love
1,"@ad_infinitum Why yes, I can. The Ultimate Vegan Guide by Eric Marcus: http://bit.ly/rQp7n You can always ask me anything, you know. ",why yes i can the ultimate vegan guide by eric marcus you can always ask me anything you know,yes ultimate vegan guide eric marcus always ask anything know
1,We have $89 in extra GGUI donations and I've been thinking that should go towards IPB. $170 total needed! Can anyone still donate? ,we have in extra ggui donations and i have been thinking that should go towards ipb total needed can anyone still donate,extra ggui donation thinking go towards ipb total needed anyone still donate
0,"Watching a progress bar go across the screen. Very, very dull and tedious. ",watching a progress bar go across the screen very very dull and tedious,watching progress bar go across screen dull tedious
1,Filling up the paddling pool for the kids. ,filling up the paddling pool for the kids,filling paddling pool kid
1,is reading through all her AS French stuff just to re jog the old brain ,is reading through all her as french stuff just to re jog the old brain,reading french stuff jog old brain
1,"@lienaun you must be louis Vuitton, not reebok-in... while you drink that fresca ",you must be louis vuitton not reebokin while you drink that fresca,must louis vuitton reebokin drink fresca
0,3 short ,short,short
0,"In school on my phone again, just got a top up, so warm! Too tired ",in school on my phone again just got a top up so warm too tired,school phone got top warm tired
1,FRESH ! ,fresh,fresh
0,Shit! I lost my HK debit card ,shit i lost my hk debit card,shit lost hk debit card
0,@DaisyKary I won't be in up north until 15 th. ,i will not be in up north until th,north th
0,"@YourTheCutest nope, thats what i didnt get to have tonight ",nope thats what i didnt get to have tonight,nope thats didnt get tonight
0,"Oh noes. I just found out why Cons Skate shoes are so hard to find. Financial issues, and bought out by Nike. ",oh noes i just found out why cons skate shoes are so hard to find financial issues and bought out by nike,oh no found con skate shoe hard find financial issue bought nike
0,@anniegxxx can't think of him that way any more  or at least I try not to LOL,cannot think of him that way any more or at least i try not to lol,think way least try lol
0,I really want to see Boys Like Girls tonight! ,i really want to see boys like girls tonight,really want see boy like girl tonight
0,@nanashambles the truth is aku ga tau caranya add contact ,the truth is aku ga tau caranya add contact,truth aku ga tau caranya add contact
1,@royalshortness submit ,submit,submit
1,"my ambience was great this morning, it is full throttle. reading news isn't the usual routine for me. but ok its free ",my ambience was great this morning it is full throttle reading news is not the usual routine for me but ok its free,ambience great morning full throttle reading news usual routine ok free
1,3 things I need rite now *food **car ***my negra  lol  http://myloc.me/3V2n,things i need rite now food car my negra lol,thing need rite food car negra lol
1,"@mitchelmusso HEY LOW, Mitchel. awesome music  WOOT.",hey low mitchel awesome music woot,hey low mitchel awesome music woot
0,"It was verry nice yesterday, she is still here, she is going around 5 PM, I will miss her ",it was verry nice yesterday she is still here she is going around pm i will miss her,verry nice yesterday still going around pm miss
1,"@waddling yup am now, complications were had so am home mending now, good to be out of hospital, missing the endless cups of tea tho ",yup am now complications were had so am home mending now good to be out of hospital missing the endless cups of tea tho,yup complication home mending good hospital missing endless cup tea tho
1,@nikkifirth aren't the 1st morning tweets the most excitables ,are not the st morning tweets the most excitables,st morning tweet excitables
1,Accompany Zakir to do his passport today 4 cousin wedding on Saturday. Need to eat more.I'm getting thinner again.. 'lol' Stresshead... ,accompany zakir to do his passport today cousin wedding on saturday need to eat morei am getting thinner again lol stresshead,accompany zakir passport today cousin wedding saturday need eat morei getting thinner lol stresshead
1,I had so much fun with Dyson at the races tonight!!.. I'm excited excited about girls night in St.Loius! ,i had so much fun with dyson at the races tonight i am excited excited about girls night in stloius,much fun dyson race tonight excited excited girl night stloius
0,i want someone to cuddle with right now. ,i want someone to cuddle with right now,want someone cuddle right
0,@humhow http://twitpic.com/7dect - HA!Found it! and you! Not a very cute pic of me though.   Looks like I am wiping your nose! LOL. Ha ...,hafound it and you not a very cute pic of me though looks like i am wiping your nose lol ha,hafound cute pic though look like wiping nose lol ha
0,@Rohan_01 You know..it's really sad that u know that ur classmate don't care about you..        sad memories T.T,you knowit is really sad that u know that ur classmate do not care about you sad memories tt,knowit really sad know ur classmate care sad memory tt
1,I'm 18 almost 19 (May 30th)and have only had sex with 2 girls.... And plus it would make a sweet b-day present ,i am almost may thand have only had sex with girls and plus it would make a sweet bday present,almost may thand sex girl plus would make sweet bday present
1,I think this brilliant performance summarizes my thoughts quite well http://bit.ly/3YTXw  (thanks @lifo ,i think this brilliant performance summarizes my thoughts quite well thanks,think brilliant performance summarizes thought quite well thanks
0,@mwahmwah_teh Oh that's awful  I hate when you trust someone and they hurt you so much!! Grr!,oh that is awful i hate when you trust someone and they hurt you so much grr,oh awful hate trust someone hurt much grr
1,"@bkzzang woh, nothing judgmental here. just a pure guess retrieved from 140. ",woh nothing judgmental here just a pure guess retrieved from,woh nothing judgmental pure guess retrieved
0,well done http://www.nationalrail.co.uk/ doing an excellent job yet again ,well done doing an excellent job yet again,well done excellent job yet
1,playing some killer basketball with some friends! ,playing some killer basketball with some friends,playing killer basketball friend
0,Twitpic on twitterberry's not working. Says file type not supported. ,twitpic on twitterberry is not working says file type not supported,twitpic twitterberry working say file type supported
0,just woke upp .... wanna go back to sleeep ,just woke upp wanna go back to sleeep,woke upp wan na go back sleeep
1,Is lookin 4ward to a long weekend  really dont want to go to work 2day tho =[ x,is lookin ward to a long weekend really dont want to go to work day tho x,lookin ward long weekend really dont want go work day tho
1,@_Dannii_ OMG GUESS WHAT I'M DRAWING!!! hi ,omg guess what i am drawing hi,omg guess drawing hi
0,@AndrewKungPhoto  nopers... dreadful I know.,nopers dreadful i know,nopers dreadful know
0,grounded ,grounded,grounded
0,going to the mall to look for a dress. then alexis's sweet 16 party later ! no cell.  ,going to the mall to look for a dress then alexis is sweet party later no cell,going mall look dress alexis sweet party later cell
0,"@MissDangerMouse Hell yes!  Where have you BEEN, man?  You're never on AIM anymore. ",hell yes where have you been man you are never on aim anymore,hell yes man never aim anymore
1,@Dog_Crazy we know that  but some 2legs are not so smart ),we know that but some legs are not so smart,know leg smart
1,Put new strings on my Les Paul  Exam block is best auz. So happy to chill and do nothing but play guitar (L),put new strings on my les paul exam block is best auz so happy to chill and do nothing but play guitar l,put new string le paul exam block best auz happy chill nothing play guitar
1,@BeckyFearns hahaha :') okay.. i hopeee you loooose  oh and i pre orderd new jb album  and burnin up book and rolling stone posterr  x,hahaha okay i hopeee you loooose oh and i pre orderd new jb album and burnin up book and rolling stone posterr x,hahaha okay hopeee loooose oh pre orderd new jb album burnin book rolling stone posterr
1,Just got sent home from school for being to far ahead despite missing 3 weeks of school. Woot. ,just got sent home from school for being to far ahead despite missing weeks of school woot,got sent home school far ahead despite missing week school woot
1,@AutumnAmes sounds great ,sounds great,sound great
1,http://pic.gd/7149fe great dinner tonight ... Mozambican prawns    ,great dinner tonight mozambican prawns,great dinner tonight mozambican prawn
0,My nose got sunburned &amp; now its peeling. Ewww ,my nose got sunburned amp now its peeling ewww,nose got sunburned amp peeling ewww
0,"chelsea best show everton whats good, im dreading the barbers if they don't ",chelsea best show everton whats good im dreading the barbers if they do not,chelsea best show everton whats good im dreading barber
1,@SingmySorrow i have for itunes.. i can burn you the itunes copy if you want ,i have for itunes i can burn you the itunes copy if you want,itunes burn itunes copy want
0,"At home, and bored as hell. The Lakers 2-2 ",at home and bored as hell the lakers,home bored hell lakers
1,@jasondilts That's awesome.  ,that is awesome,awesome
1,Sleeping... Finally ,sleeping finally,sleeping finally
0,@morrissey2637  Ah right!!! i dont even know whats going on there!! i sooo need to read the news ,ah right i dont even know whats going on there i sooo need to read the news,ah right dont even know whats going sooo need read news
1,right after being distracted by @loadingreadyrun 's wiki ive decided to start getting on with some of @weirdo_films video stuff ,right after being distracted by is wiki ive decided to start getting on with some of video stuff,right distracted wiki ive decided start getting video stuff
1,"looking forward to stephen porter and sasha in lush this evening, getting oiled up as i type ",looking forward to stephen porter and sasha in lush this evening getting oiled up as i type,looking forward stephen porter sasha lush evening getting oiled type
1,"@Wossy yeah, and flock of seagulls haircuts ",yeah and flock of seagulls haircuts,yeah flock seagull haircut
1,Off to school on a Saturday! Oh God! Starbucks stop! ,off to school on a saturday oh god starbucks stop,school saturday oh god starbucks stop
1,"@WilliamSledd YAY! WILLIAM! i saw your video and i'm sorry about what happened, i hope it gets better soon ",yay william i saw your video and i am sorry about what happened i hope it gets better soon,yay william saw video sorry happened hope get better soon
1,@I_am_Heather Awesome  Well have fun in NZ!,awesome well have fun in nz,awesome well fun nz
1,@likeSunday  One needs to go further up the road. It's only a bit farther than where you're at ,one needs to go further up the road it is only a bit farther than where you are at,one need go road bit farther
1,@missannajane ooohh but a GOOD &quot;D&quot; and well worth it!!! Whoever came up with that one is a genius ,ooohh but a good quotdquot and well worth it whoever came up with that one is a genius,ooohh good quotdquot well worth whoever came one genius
0,"RIP Gillybob and Frieda, you guys were good companions. No other fish would've understood me as well as you guys have. ",rip gillybob and frieda you guys were good companions no other fish would have understood me as well as you guys have,rip gillybob frieda guy good companion fish would understood well guy
1,"@Banksyart2 I started off just messaging new peeps that appeared on old account, but then thought may as well work my way back... ",i started off just messaging new peeps that appeared on old account but then thought may as well work my way back,started messaging new peep appeared old account thought may well work way back
1,@sampan22 Oh no!! best stick to flipflops tomo  I will LOVE the dvds guarenteed. Me and Gabs have scheduled next sat night in for a festx,oh no best stick to flipflops tomo i will love the dvds guarenteed me and gabs have scheduled next sat night in for a festx,oh best stick flipflops tomo love dvd guarenteed gab scheduled next sat night festx
1,@MoocherGirl Hi - survey seems working now ,hi survey seems working now,hi survey seems working
1,"WOW! Free falling 120 miles per hour in the air from 12,500 feet altitude...  http://snipr.com/je9tb",wow free falling miles per hour in the air from feet altitude,wow free falling mile per hour air foot altitude
0,Had so much fun last night. It is a night to remember.  So tired now though. ,had so much fun last night it is a night to remember so tired now though,much fun last night night remember tired though
1,"@jordanknight either way, it'll be exciting for them. ",either way it will be exciting for them,either way exciting
1,bronzin' my body ~ poolside ,bronzin my body poolside,bronzin body poolside
0,@Sam916 oh no... no class today. i just hung out with an old friend from aau and it was just a waste of time. ,oh no no class today i just hung out with an old friend from aau and it was just a waste of time,oh class today hung old friend aau waste time
1,"whoo ah whoo, each night we have a walk, it almost breaks my heart, because im so afraid we'll have to part  ",whoo ah whoo each night we have a walk it almost breaks my heart because im so afraid we will have to part,whoo ah whoo night walk almost break heart im afraid part
0,@ceejux: whenever i get the chance. I work and have no car ,whenever i get the chance i work and have no car,whenever get chance work car
1,"@lollipopup That's fine. Better than keeping it dead, right? ",that is fine better than keeping it dead right,fine better keeping dead right
1,@sage_in_spain Good morning  How are you ?Thank you for the #followfriday !,good morning how are you thank you for the followfriday,good morning thank followfriday
1,@bethofalltrades http://twitpic.com/69bs9 - happy birthday! ,happy birthday,happy birthday
0,@babygirljer I know   Yoga at 4:30 pm today? I seriously miss my amazon!,i know yoga at pm today i seriously miss my amazon,know yoga pm today seriously miss amazon
1,Drivin!  is a beautiful dayyy!,drivin is a beautiful dayyy,drivin beautiful dayyy
1,@nickybyrneoffic are westlife definently coming back? ive been to every concert in glasgow and last year got first row for the first time ,are westlife definently coming back ive been to every concert in glasgow and last year got first row for the first time,westlife definently coming back ive every concert glasgow last year got first row first time
0,Reading tweets 'till I fall asleep... have a toothache ,reading tweets till i fall asleep have a toothache,reading tweet till fall asleep toothache
0,@Dani82 sorry  to hear about your friend ,sorry to hear about your friend,sorry hear friend
1,Jenson Button - 6 wins from 7 races!!!!!!!   Hope he can keep it up at Silverstone  lol http://is.gd/RHUo,jenson button wins from races hope he can keep it up at silverstone lol,jenson button win race hope keep silverstone lol
1,@MohammedQBM if you had the test already: how did u do? If not: good luck ,if you had the test already how did u do if not good luck,test already good luck
0,@natalietejeda sad punky sad    thanks for stopping by,sad punky sad thanks for stopping by,sad punky sad thanks stopping
1,"I'll be tweeting 4U during the 48hr tweetfest to raise money 4 schools in Kenya/Ethiopia, 17-19Jun. #GHNI  (via @JJNextGenTV)",i will be tweeting u during the hr tweetfest to raise money schools in kenyaethiopia jun ghni via,tweeting hr tweetfest raise money school kenyaethiopia jun ghni via
1,"@Aerliss If you find any, let me know.  All I ever find is manga.",if you find any let me know all i ever find is manga,find let know ever find manga
0,"It's so nice listening to the rain on the roof it's really hard to get out of bed. Oh well, suppose I better... ",it is so nice listening to the rain on the roof it is really hard to get out of bed oh well suppose i better,nice listening rain roof really hard get bed oh well suppose better
0,@xnausikaax oh no! where did u order from? that's horrible ,oh no where did u order from that is horrible,oh order horrible
1,BRITNEY SPEARS IS FOLLOWING ME!!!!! how cool I should improve my twitters ,britney spears is following me how cool i should improve my twitters,britney spear following cool improve twitter
0,@khaled74 Dude I wish I could come up. This weekend sounds like a blast but I have so much going on. ,dude i wish i could come up this weekend sounds like a blast but i have so much going on,dude wish could come weekend sound like blast much going
0,@meeshly why r all good things depressants? lol. the only times my mood swings madly is during r'ship issues. i got reminded of it today ,why r all good things depressants lol the only times my mood swings madly is during r iship issues i got reminded of it today,good thing depressant lol time mood swing madly iship issue got reminded today
1,is watching Titanic ,is watching titanic,watching titanic
1,Going to my aunts. Yay! Be warned. She is a facebooker. We will have fun though ,going to my aunts yay be warned she is a facebooker we will have fun though,going aunt yay warned facebooker fun though
0,Kirsten is never up in the morning. And i think she is mad at me ,kirsten is never up in the morning and i think she is mad at me,kirsten never morning think mad
1,@mileycyrus http://twitpic.com/67hac - Looks like you guys were having fun ,looks like you guys were having fun,look like guy fun
0,Crap Steve Jobs had a liver transplant???? Oh man thats not good  LOL,crap steve jobs had a liver transplant oh man thats not good lol,crap steve job liver transplant oh man thats good lol
1,No one on Twitter has #goodsex. You can all pretend. ,no one on twitter has goodsex you can all pretend,one twitter goodsex pretend
1,"@andrewsnaith Yay, you've booked your flight! I wish you a smooth transition - if you need anything please do not hesitate to contact me ",yay you have booked your flight i wish you a smooth transition if you need anything please do not hesitate to contact me,yay booked flight wish smooth transition need anything please hesitate contact
1,@jonasbrothers please come to GERMANY!!!! â¥ PLEASE PLEASE PLEASE!!! Love Your new SIngle Ladies Video!! ,please come to germany please please please love your new single ladies video,please come germany please please please love new single lady video
0,This Old lady in this movie is SCARY lookin ,this old lady in this movie is scary lookin,old lady movie scary lookin
0,"@Schofe yes what a shame, Sutil is usually good in the wet ",yes what a shame sutil is usually good in the wet,yes shame sutil usually good wet
1,@F1_Girl  Well  I guess he has had a fair few silverstone specials  already   Going off your profile pic your a Lewis fan?,well i guess he has had a fair few silverstone specials already going off your profile pic your a lewis fan,well guess fair silverstone special already going profile pic lewis fan
1,"@Mellicious_ yup I am working today, on my way down right now and gonna stop at Timmies as usual ",yup i am working today on my way down right now and gonna stop at timmies as usual,yup working today way right gon na stop timmies usual
0,*twisted.. gahh studying is making screw up my commercial ,twisted gahh studying is making screw up my commercial,twisted gahh studying making screw commercial
0,I guess alls well that ends well...I'm still single for the record lol. Leaving Cleveland will be bittersweet to ,i guess alls well that ends welli am still single for the record lol leaving cleveland will be bittersweet to,guess alls well end welli still single record lol leaving cleveland bittersweet
0,Omg my bff just said he wouldn't kiss me @NasVegas ,omg my bff just said he would not kiss me,omg bff said would kiss
0,"Bonjour, jet lag. Awake so early I heard the NY Times hit the front step. That's bad ",bonjour jet lag awake so early i heard the ny times hit the front step that is bad,bonjour jet lag awake early heard ny time hit front step bad
0,Not feeling well today...I've been having stomach pains a lot lately...might have to swallow the pill and actually go see a doctor. ,not feeling well todayi have been having stomach pains a lot latelymight have to swallow the pill and actually go see a doctor,feeling well todayi stomach pain lot latelymight swallow pill actually go see doctor
1,eatinqq Î± beef patty  .,eatinqq beef patty,eatinqq beef patty
1,White water here I come! ,white water here i come,white water come
0,@FaketragedyCom i know ,i know,know
0,@DIVACANDICEM - Candice i dont mean to bother you but im really sad that u got released! ,candice i dont mean to bother you but im really sad that u got released,candice dont mean bother im really sad got released
0,"After security scare, we're now forced to sit in locked office  not doing much for legit visitation or air circulation. Dang thievery!",after security scare we are now forced to sit in locked office not doing much for legit visitation or air circulation dang thievery,security scare forced sit locked office much legit visitation air circulation dang thievery
0,is really hungry after not taking afternoon tea to work today ,is really hungry after not taking afternoon tea to work today,really hungry taking afternoon tea work today
1,"Just finished the 2nd shopaholic book   going to bed now, back to school tomorrow.",just finished the nd shopaholic book going to bed now back to school tomorrow,finished nd shopaholic book going bed back school tomorrow
0,@asamidori i guess it's painful grinding for me then ,i guess it is painful grinding for me then,guess painful grinding
0,is sooooooooo sore...like everywhere hurts ,is sooooooooo sorelike everywhere hurts,sooooooooo sorelike everywhere hurt
0,"@missmissen Well no not really, but it still makes me sad! ",well no not really but it still makes me sad,well really still make sad
0,bored yesterday....bored today....bored tomorrow....... summer :/...... where are my friends!!!!! ,bored yesterdaybored todaybored tomorrow summer where are my friends,bored yesterdaybored todaybored tomorrow summer friend
0,@victoria_tweed opted for a corona - it was a mistake. my headache just got a million times worse ,opted for a corona it was a mistake my headache just got a million times worse,opted corona mistake headache got million time worse
1,My movie not working hate you internet ,my movie not working hate you internet,movie working hate internet
1,"Good talk with mom, now off to spend time with some friends! ",good talk with mom now off to spend time with some friends,good talk mom spend time friend
0,Just finished the first day of training with Sir Manci. Learned a lot today and the training was great. Back to work tomorrow ,just finished the first day of training with sir manci learned a lot today and the training was great back to work tomorrow,finished first day training sir manci learned lot today training great back work tomorrow
1,"I have just decided my job when I grow up is going to be, work for the jonas brothers and help create their tour ",i have just decided my job when i grow up is going to be work for the jonas brothers and help create their tour,decided job grow going work jonas brother help create tour
0,disappointed  signing off,disappointed signing off,disappointed signing
1,Do you have a Canon EOS 500D / Rebel T1i Come on! Take the camera into the pool and make pics ,do you have a canon eos d rebel ti come on take the camera into the pool and make pics,canon eos rebel ti come take camera pool make pic
1,"In great spirits due to a beautiful day in a great city, plans for shopping, and an anticipated visitor later... ",in great spirits due to a beautiful day in a great city plans for shopping and an anticipated visitor later,great spirit due beautiful day great city plan shopping anticipated visitor later
1,Thank you very much everybody for the kind comments about my design work - I'm flattered. ,thank you very much everybody for the kind comments about my design work i am flattered,thank much everybody kind comment design work flattered
1,Coffee date with the ladies  I see Cotie in a few hours &lt;3,coffee date with the ladies i see cotie in a few hours lt,coffee date lady see cotie hour lt
0,Going to chrio then for blood work blah I hate being sick I've felt gross for the last month ,going to chrio then for blood work blah i hate being sick i have felt gross for the last month,going chrio blood work blah hate sick felt gross last month
1,@Dannymcfly : Danny. PLEASE PLEASE PLEASE say 'Ich liebe Deutschland'. pleeeeease.  xx,danny please please please say ich liebe deutschland pleeeeease xx,danny please please please say ich liebe deutschland pleeeeease xx
1,"thinking of school.  and blogging too,  i loveee robert pattinson.",thinking of school and blogging too i loveee robert pattinson,thinking school blogging loveee robert pattinson
1,follo0w the beards  @30secondstomars,follow the beards,follow beard
1,"@Jon_Favreau Now that I now you're an owner, I'll try it out! There's one here in Roseville, CA! ",now that i now you are an owner i will try it out there is one here in roseville ca,owner try one roseville ca
1,@iamroccett Yeah. We see you struggling LOL! Look after my lovely @HipHopNonStopTV  xx,yeah we see you struggling lol look after my lovely xx,yeah see struggling lol look lovely xx
1,Daft punk can cheer up any situation ,daft punk can cheer up any situation,daft punk cheer situation
1,Off to the Garter Ceremony at Windsor Castle ,off to the garter ceremony at windsor castle,garter ceremony windsor castle
1,"Plan for today: have a bath, get ready, eat, get to the garden &amp; get drunk - and then tomorrow it's my bday at last ",plan for today have a bath get ready eat get to the garden amp get drunk and then tomorrow it is my bday at last,plan today bath get ready eat get garden amp get drunk tomorrow bday last
1,"Why is comfort food always bad for my health? Had the avocado bacon cheeseburger anyway, to help concentration. ",why is comfort food always bad for my health had the avocado bacon cheeseburger anyway to help concentration,comfort food always bad health avocado bacon cheeseburger anyway help concentration
0,@fhgrl33 also a good one!  Too bad she's done .... for the season... ,also a good one too bad she is done for the season,also good one bad done season
0,this flat hunting malarky is rubbish ,this flat hunting malarky is rubbish,flat hunting malarky rubbish
1,@CBCebulski Are ChesterQuest runner-ups invited to send you more recent samples? I'd love to see what you think about my current stuff. ,are chesterquest runnerups invited to send you more recent samples i would love to see what you think about my current stuff,chesterquest runnerups invited send recent sample would love see think current stuff
0,"I just wanna fall asleep, why do you call randomly and mess up my brain process for a night?!! I just want my serenity back ",i just wanna fall asleep why do you call randomly and mess up my brain process for a night i just want my serenity back,wan na fall asleep call randomly mess brain process night want serenity back
0,Boo!! Just got to school n my phone only has one bar left ,boo just got to school n my phone only has one bar left,boo got school phone one bar left
0,@TheRealJordin i know exactly how your feeling  Im curled up in bed right now witha hot water bottle. NOT FUN! haha hope you feel better x,i know exactly how your feeling im curled up in bed right now witha hot water bottle not fun haha hope you feel better x,know exactly feeling im curled bed right witha hot water bottle fun haha hope feel better
